make_id,model_id,released_year,image_name,view_point,x1,y1,x2,y2
78,1,2010.0,071c428717ceca.jpg,1,32,61,872,626
78,1,2010.0,439374a1456969.jpg,1,131,111,765,568
78,1,2010.0,4c119af3fdb787.jpg,1,66,51,823,612
78,1,2010.0,588feea1fcc809.jpg,1,92,87,786,572
78,1,2010.0,6c5730eb35dbfc.jpg,1,154,102,752,510
78,1,2010.0,aa93b7c8310b58.jpg,1,175,133,731,542
78,1,2012.0,106f7ea2150ff7.jpg,1,132,106,802,593
78,1,2012.0,4f0e2c4390e70a.jpg,1,137,105,797,594
78,1,2012.0,6481ae22830294.jpg,1,162,146,750,576
78,1,2010.0,09085b4e3c1674.jpg,2,110,46,790,586
78,1,2010.0,2d7cce791bdd53.jpg,2,206,174,707,556
78,1,2010.0,42fc7c8524392d.jpg,2,145,119,759,597
78,1,2010.0,4fb4b93e934b43.jpg,2,123,101,777,623
78,1,2010.0,6f64cf12a569dc.jpg,2,151,110,785,600
78,1,2010.0,f66204595e1e95.jpg,2,89,54,799,607
78,1,2012.0,0a0434d473138b.jpg,2,201,137,715,557
78,1,2012.0,80e52b10388f9e.jpg,2,150,113,761,607
78,1,2012.0,dee84a5406895b.jpg,2,182,151,715,583
78,1,2012.0,f5a52935ee6fc2.jpg,2,121,80,794,616
78,1,2013.0,603cd9ca33d572.jpg,2,105,52,809,618
78,1,2010.0,75f1007cc123e8.jpg,3,41,142,892,551
78,1,2010.0,e459f7a8bd6aa7.jpg,3,59,231,852,522
78,1,2010.0,f860561f297849.jpg,3,12,218,890,545
78,1,2012.0,0271190b99d1e8.jpg,3,93,209,819,461
78,1,2012.0,270d0f4f0120d6.jpg,3,53,219,863,500
78,1,2012.0,3cfa4f43cca967.jpg,3,59,208,840,482
78,1,2012.0,3f71bd961a4d3e.jpg,3,54,240,858,525
78,1,2012.0,49471b9cf97cdf.jpg,3,79,226,811,479
78,1,2012.0,58b6b48bf5f5e0.jpg,3,51,234,847,520
78,1,2012.0,c768ddbe1c0e62.jpg,3,60,202,846,477
78,1,2013.0,0acc26e43682ce.jpg,3,66,223,849,507
78,1,2013.0,2e301e029877d4.jpg,3,85,231,840,489
78,1,2013.0,728d7b1032bea3.jpg,3,104,241,829,491
78,1,2013.0,9780339018e06f.jpg,3,33,197,878,497
78,1,2010.0,3d24090e7b8ff9.jpg,4,132,186,790,575
78,1,2010.0,3fdb503b12f948.jpg,4,65,67,786,555
78,1,2010.0,523b3697369829.jpg,4,153,189,803,564
78,1,2010.0,646f6a9d893258.jpg,4,60,143,825,563
78,1,2010.0,6b4c45e52b3c15.jpg,4,97,124,751,512
78,1,2010.0,83a76db0ac43af.jpg,4,105,128,834,573
78,1,2010.0,8e64bfdacafd49.jpg,4,82,95,855,543
78,1,2010.0,a0e9c888590e5e.jpg,4,128,38,815,588
78,1,2010.0,c40bfe8a82fee0.jpg,4,88,212,843,579
78,1,2012.0,01c827f6032e85.jpg,4,106,158,809,532
78,1,2012.0,0974e6fd2bcf07.jpg,4,67,174,835,570
78,1,2012.0,3b61323214e850.jpg,4,101,175,806,533
78,1,2012.0,4edd809e73be9f.jpg,4,68,172,854,559
78,1,2012.0,ae365ffb195e24.jpg,4,82,158,802,522
78,1,2012.0,f237dbd7ec1e1f.jpg,4,67,179,855,538
78,1,2012.0,f31b62913923b8.jpg,4,105,172,797,526
78,1,2013.0,05034f67cda5fc.jpg,4,105,218,811,523
78,1,2013.0,3955d9f0771a60.jpg,4,122,203,798,535
78,1,2013.0,64cb641e5c4cea.jpg,4,96,134,821,505
78,1,2013.0,7d89b36b3f7cf5.jpg,4,75,167,832,519
78,1,2010.0,1cd86c50942017.jpg,5,62,94,879,591
78,1,2010.0,5d6ad69be2bd95.jpg,5,111,153,783,578
78,1,2010.0,6a5f4cd0f733e1.jpg,5,58,100,863,550
78,1,2010.0,7f0d1911d3c6b8.jpg,5,106,175,791,604
78,1,2010.0,9b40c15c2c3789.jpg,5,145,174,814,583
78,1,2010.0,c40f6b80d0cd6e.jpg,5,30,105,866,608
78,1,2012.0,3041faff684c09.jpg,5,95,177,794,539
78,1,2012.0,35129560146e9a.jpg,5,71,176,853,560
78,1,2012.0,4a09347310f2be.jpg,5,64,147,810,557
78,1,2012.0,504ce0bc4cbbaa.jpg,5,87,160,811,561
78,1,2012.0,93eb4f0ff8bc2c.jpg,5,75,170,839,575
78,1,2012.0,c5c948dc3d682e.jpg,5,101,168,805,527
78,1,2012.0,cbe74051ecd891.jpg,5,69,143,853,559
78,1,2012.0,fdc6ac4a5ea851.jpg,5,92,142,813,525
78,1,2013.0,256a5eb6541a81.jpg,5,125,211,779,553
78,1,2013.0,2ea659cee1b175.jpg,5,110,205,803,528
78,1,2013.0,39ac2f7b687bc2.jpg,5,47,164,832,624
78,2,2009.0,25b1eb228e5a13.jpg,1,149,105,734,623
78,2,2009.0,487c2d0c0eef60.jpg,1,136,50,741,595
78,2,2009.0,935f37557807ee.jpg,1,59,96,808,605
78,2,2009.0,b5026e36acb2dd.jpg,1,118,166,751,579
78,2,2010.0,7424608af25e2a.jpg,1,84,78,816,610
78,2,2010.0,751680637cceff.jpg,1,193,177,705,537
78,2,2010.0,9b37b9fd0e05e6.jpg,1,118,120,775,545
78,2,2010.0,9d2728c8c614ca.jpg,1,180,136,723,534
78,2,2010.0,eb789057cfa61f.jpg,1,113,83,812,559
78,2,2010.0,fef92bcd5709e2.jpg,1,98,153,807,535
78,2,2011.0,1ffc7b1c5456d8.jpg,1,61,48,830,543
78,2,2011.0,324b9c1eb6e9d1.jpg,1,118,85,784,577
78,2,2011.0,4dd0453d7ba183.jpg,1,115,120,807,576
78,2,2011.0,740b1f3c03ace1.jpg,1,121,191,751,617
78,2,2011.0,9cea8911d7026a.jpg,1,122,95,797,570
78,2,2009.0,55e9ef4bcb70ba.jpg,2,179,117,721,560
78,2,2009.0,9eca4a93af3f48.jpg,2,159,161,760,547
78,2,2009.0,bf3e742541a29c.jpg,2,135,105,752,610
78,2,2009.0,c09237c2cd1a74.jpg,2,105,138,814,582
78,2,2010.0,88cf28c6987e06.jpg,2,120,127,746,588
78,2,2010.0,b1525a62c4de33.jpg,2,161,116,779,559
78,2,2010.0,ba039de4eed74f.jpg,2,194,195,705,589
78,2,2010.0,c5759ae652595a.jpg,2,119,125,783,578
78,2,2011.0,2bb6d9c4a16859.jpg,2,88,70,775,597
78,2,2011.0,33702730e69b34.jpg,2,136,82,792,577
78,2,2011.0,35d6fd14b400d2.jpg,2,135,168,757,621
78,2,2011.0,4659ba1551666b.jpg,2,176,151,748,583
78,2,2011.0,9a05d87b72b5f4.jpg,2,53,39,850,616
78,2,2009.0,5df4d0d3073039.jpg,3,71,199,858,466
78,2,2009.0,5e3b5a5a0a9af9.jpg,3,130,273,906,555
78,2,2009.0,6bdbae1e07b2a3.jpg,3,41,335,854,598
78,2,2009.0,769bfd83b84641.jpg,3,54,241,834,501
78,2,2009.0,a6a1df0cd40aa7.jpg,3,5,165,908,496
78,2,2009.0,a8c4a7b67ec6c5.jpg,3,1,123,909,464
